files,language,blank,comment,code
21978,C,2113094,1978872,10809997
16944,C/C++ Header,410387,703038,2610820
1406,Assembly,47343,110270,242570
176,XML,3468,242,51490
2052,make,7791,7590,32681
45,Perl,4495,3557,23636
162,Bourne Shell,1629,3054,8878
39,Python,1233,1261,7316
8,yacc,639,355,4311
8,lex,292,289,1815
1,C++,209,57,1532
46,Bourne Again Shell,290,242,1327
9,awk,127,118,1071
13,ASP.Net,21,0,461
2,NAnt script,120,0,439
2,HTML,58,0,378
3,Pascal,49,0,231
1,Lisp,63,0,218
1,Objective C++,55,0,189
1,m4,15,1,95
6,XSLT,13,27,71
1,vim script,3,12,27
1,Windows Module Definition,0,0,8
